2026-04-22 16:46:32,619 [ALLOW] TCP 192.168.64.2 -> 176.34.164.201 | rule: Allow all
2026-04-22 16:46:32,655 [ALLOW] TCP 176.34.164.201 -> 192.168.64.2 | rule: Allow all
2026-04-22 16:46:32,655 [ALLOW] TCP 192.168.64.2 -> 176.34.164.201 | rule: Allow all
2026-04-22 16:46:34,411 [ALLOW] ICMP 192.168.64 -> 8.8.8 | rule: Allow all
2026-04-22 16:46:34,422 [ALLOW] ICMP 8.8.8 -> 192.168.64 | rule: Allow all
2026-04-22 16:46:35,414 [ALLOW] ICMP 192.168.64 -> 8.8.8 | rule: Allow all
2026-04-22 16:46:35,435 [ALLOW] ICMP 8.8.8 -> 192.168.64 | rule: Allow all
2026-04-22 16:46:36,418 [ALLOW] ICMP 192.168.64 -> 8.8.8 | rule: Allow all
2026-04-22 16:46:36,432 [ALLOW] ICMP 8.8.8 -> 192.168.64 | rule: Allow all
2026-04-22 16:46:37,420 [ALLOW] ICMP 192.168.64 -> 8.8.8 | rule: Allow all
2026-04-22 16:46:37,435 [ALLOW] ICMP 8.8.8 -> 192.168.64 | rule: Allow all
2026-04-22 16:46:38,421 [ALLOW] ICMP 192.168.64 -> 8.8.8 | rule: Allow all
2026-04-22 16:46:38,433 [ALLOW] ICMP 8.8.8 -> 192.168.64 | rule: Allow all
2026-04-22 16:46:39,424 [ALLOW] ICMP 192.168.64 -> 8.8.8 | rule: Allow all
2026-04-22 16:46:39,435 [ALLOW] ICMP 8.8.8 -> 192.168.64 | rule: Allow all
2026-04-22 16:46:40,426 [ALLOW] ICMP 192.168.64 -> 8.8.8 | rule: Allow all
2026-04-22 16:46:40,445 [ALLOW] ICMP 8.8.8 -> 192.168.64 | rule: Allow all
2026-04-22 16:46:41,431 [ALLOW] ICMP 192.168.64 -> 8.8.8 | rule: Allow all
2026-04-22 16:46:41,444 [ALLOW] ICMP 8.8.8 -> 192.168.64 | rule: Allow all
2026-04-22 16:46:42,431 [ALLOW] ICMP 192.168.64 -> 8.8.8 | rule: Allow all
2026-04-22 16:46:42,446 [ALLOW] ICMP 8.8.8 -> 192.168.64 | rule: Allow all
2026-04-22 16:46:42,620 [ALLOW] TCP 192.168.64.2 -> 176.34.164.201 | rule: Allow all
2026-04-22 16:46:42,664 [ALLOW] TCP 176.34.164.201 -> 192.168.64.2 | rule: Allow all
2026-04-22 16:46:42,664 [ALLOW] TCP 192.168.64.2 -> 176.34.164.201 | rule: Allow all
2026-04-22 16:46:43,436 [ALLOW] ICMP 192.168.64 -> 8.8.8 | rule: Allow all
2026-04-22 16:46:43,455 [ALLOW] ICMP 8.8.8 -> 192.168.64 | rule: Allow all
2026-04-22 16:46:44,441 [ALLOW] ICMP 192.168.64 -> 8.8.8 | rule: Allow all
2026-04-22 16:46:44,462 [ALLOW] ICMP 8.8.8 -> 192.168.64 | rule: Allow all
2026-04-22 16:46:45,442 [ALLOW] ICMP 192.168.64 -> 8.8.8 | rule: Allow all
2026-04-22 16:46:45,465 [ALLOW] ICMP 8.8.8 -> 192.168.64 | rule: Allow all
2026-04-22 16:46:46,445 [ALLOW] ICMP 192.168.64 -> 8.8.8 | rule: Allow all
2026-04-22 16:46:46,460 [ALLOW] ICMP 8.8.8 -> 192.168.64 | rule: Allow all
2026-04-22 16:46:51,279 [ALLOW] TCP 192.168.64.2 -> 18.213.32.120 | rule: Allow all
2026-04-22 16:46:51,287 [ALLOW] TCP 192.168.64.2 -> 18.213.32.120 | rule: Allow all
2026-04-22 16:46:51,287 [ALLOW] TCP 192.168.64.2 -> 18.213.32.120 | rule: Allow all
2026-04-22 16:46:51,287 [ALLOW] TCP 192.168.64.2 -> 18.213.32.120 | rule: Allow all
2026-04-22 16:46:51,361 [ALLOW] TCP 18.213.32.120 -> 192.168.64.2 | rule: Allow all
2026-04-22 16:46:51,361 [ALLOW] TCP 192.168.64.2 -> 18.213.32.120 | rule: Allow all
2026-04-22 16:46:51,388 [ALLOW] TCP 18.213.32.120 -> 192.168.64.2 | rule: Allow all
2026-04-22 16:46:51,388 [ALLOW] TCP 18.213.32.120 -> 192.168.64.2 | rule: Allow all
2026-04-22 16:46:51,388 [ALLOW] TCP 18.213.32.120 -> 192.168.64.2 | rule: Allow all
2026-04-22 16:46:51,388 [ALLOW] TCP 18.213.32.120 -> 192.168.64.2 | rule: Allow all
2026-04-22 16:46:51,388 [ALLOW] TCP 192.168.64.2 -> 18.213.32.120 | rule: Allow all
2026-04-22 16:46:51,388 [ALLOW] TCP 192.168.64.2 -> 18.213.32.120 | rule: Allow all
2026-04-22 16:46:51,388 [ALLOW] TCP 192.168.64.2 -> 18.213.32.120 | rule: Allow all
2026-04-22 16:46:51,388 [ALLOW] TCP 192.168.64.2 -> 18.213.32.120 | rule: Allow all
2026-04-22 16:46:52,624 [ALLOW] TCP 192.168.64.2 -> 176.34.164.201 | rule: Allow all
2026-04-22 16:46:52,674 [ALLOW] TCP 176.34.164.201 -> 192.168.64.2 | rule: Allow all
2026-04-22 16:46:52,674 [ALLOW] TCP 192.168.64.2 -> 176.34.164.201 | rule: Allow all
2026-04-22 16:46:57,762 [ALLOW] TCP 176.34.164.201 -> 192.168.64.2 | rule: Allow all
2026-04-22 16:46:57,764 [ALLOW] TCP 192.168.64.2 -> 176.34.164.201 | rule: Allow all
2026-04-22 16:46:59,261 [ALLOW] TCP 192.168.64.2 -> 18.134.215.41 | rule: Allow all
2026-04-22 16:46:59,296 [ALLOW] TCP 18.134.215.41 -> 192.168.64.2 | rule: Allow all
2026-04-22 16:46:59,296 [ALLOW] TCP 192.168.64.2 -> 18.134.215.41 | rule: Allow all
2026-04-22 16:47:02,626 [ALLOW] TCP 192.168.64.2 -> 176.34.164.201 | rule: Allow all
2026-04-22 16:47:02,671 [ALLOW] TCP 176.34.164.201 -> 192.168.64.2 | rule: Allow all
2026-04-22 16:47:02,671 [ALLOW] TCP 192.168.64.2 -> 176.34.164.201 | rule: Allow all
2026-04-22 16:47:12,654 [ALLOW] TCP 192.168.64.2 -> 176.34.164.201 | rule: Allow all
2026-04-22 16:47:12,691 [ALLOW] TCP 176.34.164.201 -> 192.168.64.2 | rule: Allow all
2026-04-22 16:47:12,691 [ALLOW] TCP 192.168.64.2 -> 176.34.164.201 | rule: Allow all
2026-04-22 16:47:22,656 [ALLOW] TCP 192.168.64.2 -> 176.34.164.201 | rule: Allow all
2026-04-22 16:47:22,694 [ALLOW] TCP 176.34.164.201 -> 192.168.64.2 | rule: Allow all
2026-04-22 16:47:22,694 [ALLOW] TCP 192.168.64.2 -> 176.34.164.201 | rule: Allow all
2026-04-22 16:47:32,680 [ALLOW] TCP 192.168.64.2 -> 176.34.164.201 | rule: Allow all
2026-04-22 16:47:32,919 [ALLOW] TCP 192.168.64.2 -> 176.34.164.201 | rule: Allow all
2026-04-22 16:47:32,976 [ALLOW] TCP 176.34.164.201 -> 192.168.64.2 | rule: Allow all
2026-04-22 16:47:32,976 [ALLOW] TCP 192.168.64.2 -> 176.34.164.201 | rule: Allow all
2026-04-22 16:47:34,888 [ALLOW] None 192.168.64.2 -> 192.168.64.1 | rule: Allow all
2026-04-22 16:47:34,997 [ALLOW] None 192.168.64.1 -> 192.168.64.2 | rule: Allow all
2026-04-22 16:47:41,038 [ALLOW] TCP 176.34.164.201 -> 192.168.64.2 | rule: Allow all
2026-04-22 16:47:41,041 [ALLOW] TCP 192.168.64.2 -> 176.34.164.201 | rule: Allow all
2026-04-22 16:47:42,133 [ALLOW] TCP 176.34.164.201 -> 192.168.64.2 | rule: Allow all
2026-04-22 16:47:42,134 [ALLOW] TCP 192.168.64.2 -> 176.34.164.201 | rule: Allow all
2026-04-22 16:47:42,207 [ALLOW] TCP 176.34.164.201 -> 192.168.64.2 | rule: Allow all
2026-04-22 16:47:42,208 [ALLOW] TCP 192.168.64.2 -> 176.34.164.201 | rule: Allow all
2026-04-22 16:47:42,659 [ALLOW] TCP 192.168.64.2 -> 176.34.164.201 | rule: Allow all
